"","2,4-D","4,4'-DDD","Acetamiprid","Alachlor","Atrazine","Azinphos ethyl","Bentazone","Chlorfenviphos","Chlorpyrifos","Chlortoluron","Diazinon","Dicofol","Diflufenican","Diuron","Fenthion oxon","Fenthion oxon sulfoxide","Fenthion sulfoxide","Imidacloprid","Cybutrine","Isoproturon","Linuron","Malaoxon","MCPA","Methiocarb","Metolachlor","Molinate","Oxadiazon","Pendimethalin","Propanil","Simazine","Terbuthylazine","Terbutryn","Thiacloprid","Triadimefon","Triallate"
"2,4-D",1,-0.098700439884423,-0.124365784584527,0.0457703880650866,0.059376072548755,-0.0248743109114208,0.194893708530034,0.237063379765604,0.177950590337209,-0.123799212822971,0.26065266921831,0.346700019765338,-0.0658165907725993,0.303174514389544,0.612244704577459,-0.0942382544940011,-0.0815707729349992,0.0958891988907246,-0.217783598434606,-0.098700439884423,-0.0361663675019659,-0.133884103760102,0.0434404559855437,-0.17152237641417,-0.301595528973695,0.4518847609288,0.356682531277883,0.147217322191455,0.152579388352173,0.604141839119012,-0.446504102779667,0.215625355650207,-0.0275825722853755,-0.195061219336479,-0.0638981632364592
"4,4'-DDD",-0.098700439884423,1,-0.0584712834738627,-0.085647630477825,0.112364147595141,-0.125406890342654,0.287360584009979,-0.0725765718899959,0.365508716223454,-0.0816368804474545,-0.370975909136486,0.242535625036333,-0.168488244926953,0.297670680743198,-0.133310496558116,-0.0970125146040403,-0.096109021894351,-0.093893188548309,0.289599046973015,-0.0588235294117647,-0.0850360424291773,-0.0983774946348774,0.0739225412817803,-0.0515379869561593,-0.0660647013023967,0.165137081924316,0.176531422342957,0.193476497487974,-0.129548780140689,0.401462249787396,0.0718823538961711,-0.147345142705815,-0.130528850747078,0.15349448828937,0.722045086140864
"Acetamiprid",-0.124365784584527,-0.0584712834738627,1,-0.159718950402891,-0.134344027906538,-0.0167110795302427,-0.073395636417684,-0.154607445297543,-0.417996623934328,-0.152282736345766,0.147504685606859,0.102592342086377,-0.0138266978126875,0.299430425982821,0.0611640586070666,0.00320788712122831,-0.125708978053439,-0.0920575301031105,0.357993977568974,-0.109727465959517,-0.151467227874061,-0.0620833730249472,-0.183201734151373,-0.0486518019012056,-0.102197833934689,-0.255661750880428,-0.11538487240355,0.170890742391339,-0.183724115696508,-0.241869877337277,0.170782012991667,0.0617221035419492,-0.231692585016357,0.0275047175513055,-0.000240035776449259
"Alachlor",0.0457703880650866,-0.085647630477825,-0.159718950402891,1,-0.115854038534762,0.329873287592024,-0.176356355839052,0.519511653805143,-0.358374438581774,-0.118864091288741,0.464433988687263,-0.0162266636559035,0.113850314664931,0.0695547555629753,0.26441276061857,0.7806927619921,-0.139935669877474,0.35850232938522,-0.395427433522883,-0.085647630477825,0.904458834004348,-0.143238588232977,0.131729185286616,0.406392635374167,0.283669708319122,-0.364319397652338,0.0387412396512167,-0.44267718089712,0.551156368054961,0.0308364998046822,-0.0905872974196687,0.505373129651018,0.689093200342295,-0.0305118966504182,-0.374727464981939
"Atrazine",0.059376072548755,0.112364147595141,-0.134344027906538,-0.115854038534762,1,-0.169635687820274,-0.141442462886721,-0.229064536083696,0.178479496250608,0.837489717389148,-0.222217631832894,0.328073660558384,-0.147825522262495,-0.198442037356947,-0.0331340464853985,-0.1312271167642,-0.130004978117512,-0.16784080697382,0.223850339100891,-0.0795695503214853,-0.115026754172543,-0.133073501167476,-0.158011344601002,-0.268710348554835,0.270606620392702,-0.126171426439829,-0.169245523488824,0.261712244349199,-0.156959867517145,0.0134629579881647,0.224211509846676,-0.032831791397457,-0.171085567429985,-0.220761732793691,0.23537075062372
"Azinphos ethyl",-0.0248743109114208,-0.125406890342654,-0.0167110795302427,0.329873287592024,-0.169635687820274,1,-0.175266343246837,0.788356895399553,-0.343344645527495,-0.174043064341235,0.605610614273391,-0.0710781410449872,0.517068002194929,0.143312604228205,-0.18280952519412,-0.0627459792175803,0.0531491409782605,0.434499757192682,0.00355775364830442,0.308827865640832,0.097837478342014,0.5091141352313,0.167293785937242,0.764349939641951,0.0594411070239348,-0.184348821130354,-0.0585712323685251,-0.044949292476658,0.445974359144497,-0.231866879566788,-0.128770984709931,0.672722788170305,0.0256172240247647,-0.291815349532796,-0.28596800921512
"Bentazone",0.194893708530034,0.287360584009979,-0.073395636417684,-0.176356355839052,-0.141442462886721,-0.175266343246837,1,-0.0545115855429136,0.372686849140644,-0.31967009593368,-0.142321796360417,0.11497841118523,-0.0405900482124502,0.53331506910306,-0.0972138953703949,-0.276637193408781,-0.150028991911998,-0.0214899668715626,-0.0358494098811974,-0.219230463800251,-0.20018589174799,-0.263869300630307,0.487223594267771,-0.189715032497512,-0.358677361710519,0.455617803623814,0.0502140535118915,-0.109451114038989,0.145430777091038,0.0458148199636563,-0.370345770135691,-0.302158143519773,-0.296935900459447,-0.0701333065056792,0.318704265480739
"Chlorfenviphos",0.237063379765604,-0.0725765718899959,-0.154607445297543,0.519511653805143,-0.229064536083696,0.788356895399553,-0.0545115855429136,1,-0.373815006140677,-0.284553972292176,0.843638529311724,-0.275855827647418,0.545573737783915,0.356738432761973,0.272232265815726,0.214804357691335,0.182199682976054,0.515126436801247,-0.315172673672694,0.203068354854464,0.367754072695308,0.422463374315019,0.211884071337594,0.802345398806479,-0.0661583941988715,-0.0501454546350029,0.268431159687275,-0.185099039099077,0.453997850052559,0.100859057989925,-0.357105984994724,0.84632491858661,0.22933057962561,-0.0922515067465154,-0.424251283552588
"Chlorpyrifos",0.177950590337209,0.365508716223454,-0.417996623934328,-0.358374438581774,0.178479496250608,-0.343344645527495,0.372686849140644,-0.373815006140677,1,0.038780188420607,-0.498480455830481,0.276017740360029,-0.115868844798415,-0.0337438689748555,-0.16687526890437,-0.403238209320321,-0.358428985744825,-0.109899977448321,0.387209749156127,-0.32811949056585,-0.382284200507672,-0.412199570290207,-0.124746852746067,-0.309251116386279,-0.0699596267779494,0.233251596630377,0.0326976366211917,0.450567174714215,-0.298675282959663,0.23668005427241,-0.0680087082015822,-0.520218562604353,-0.279459886239705,-0.214926555888915,0.738436524941614
"Chlortoluron",-0.123799212822971,-0.0816368804474545,-0.152282736345766,-0.118864091288741,0.837489717389148,-0.174043064341235,-0.31967009593368,-0.284553972292176,0.038780188420607,1,-0.247957611575372,0.101989697796663,-0.160700510279456,-0.433422907352403,-0.185011902188397,-0.134636583962829,-0.0572887479724245,-0.207905980800742,0.0691013806975345,-0.0816368804474545,-0.118015312901762,-0.136530940059869,-0.240775710504599,-0.229774229298514,0.528676090723096,-0.347258866881706,-0.370076939002511,0.027887556838409,-0.18339822853374,-0.243231666735065,0.395266740822502,-0.0756866937460539,0.126545684176248,-0.117635872673311,0.00207451284501664
"Diazinon",0.26065266921831,-0.370975909136486,0.147504685606859,0.464433988687263,-0.222217631832894,0.605610614273391,-0.142321796360417,0.843638529311724,-0.498480455830481,-0.247957611575372,1,-0.249613452920371,0.616614986329142,0.362934875257808,0.365271555518603,0.244967080112937,0.261088609797245,0.446069733032312,-0.317025686197502,0.0653708504251102,0.330845869861127,0.323923747261549,0.0249596097119756,0.654655467737611,-0.0751113605140126,-0.203751380486752,0.268937735042877,-0.0925244668836903,0.312695326418643,-0.0149022712559496,-0.353032991400114,0.835978062274468,0.201764883504329,0.066691708495583,-0.586813328603385
"Dicofol",0.346700019765338,0.242535625036333,0.102592342086377,-0.0162266636559035,0.328073660558384,-0.0710781410449872,0.11497841118523,-0.275855827647418,0.276017740360029,0.101989697796663,-0.249613452920371,1,-0.000815195555322847,-0.0463783031833311,-0.0578893275815583,-0.161665429792183,-0.39626764884521,0.119774531060098,0.0587353406417929,-0.242535625036333,-0.187181271975878,-0.405620801563234,0.109915509722886,-0.524004360071047,-0.283480168233011,0.23260106588085,0.222486273214002,0.341881729378914,0.196205599559374,0.108380362001197,-0.297114558683541,-0.130175335955014,-0.135272961494162,-0.037277157476427,0.267312802972203
"Diflufenican",-0.0658165907725993,-0.168488244926953,-0.0138266978126875,0.113850314664931,-0.147825522262495,0.517068002194929,-0.0405900482124502,0.545573737783915,-0.115868844798415,-0.160700510279456,0.616614986329142,-0.000815195555322847,1,-0.0383498205505573,-0.153078800252429,-0.103991482056112,0.0971414344993708,0.490848898539749,-0.23337965721436,-0.168488244926953,-0.0636503639252179,0.0982935029676262,0.119758449797142,0.420487075092947,-0.186585327073949,-0.0909900283690691,0.375513766160328,0.0883902751401118,0.210208976611353,-0.334505951916719,-0.456672908329016,0.530431886209174,0.117643938300132,0.201033603156203,-0.312469981180901
"Diuron",0.303174514389544,0.297670680743198,0.299430425982821,0.0695547555629753,-0.198442037356947,0.143312604228205,0.53331506910306,0.356738432761973,-0.0337438689748555,-0.433422907352403,0.362934875257808,-0.0463783031833311,-0.0383498205505573,1,0.361596898171082,0.0522160094224482,0.0873827362552502,0.0189562939349537,0.154823870743483,0.0918759838711133,0.0754670267089474,0.185582361852649,-0.0497058136923651,0.31327274866532,-0.263168238507374,0.318611491151801,0.198938130032389,0.100907094640605,-0.0809264841401027,0.277329626992952,-0.067084781466588,0.107897375051268,-0.236963009862174,0.0412327200767841,0.209485393359414
"Fenthion oxon",0.612244704577459,-0.133310496558116,0.0611640586070666,0.26441276061857,-0.0331340464853985,-0.18280952519412,-0.0972138953703949,0.272232265815726,-0.16687526890437,-0.185011902188397,0.365271555518603,-0.0578893275815583,-0.153078800252429,0.361596898171082,1,0.49964800542588,-0.121451284596101,0.105566770057554,-0.308833753183944,0.113933554420034,0.407590308478193,-0.00249720917885385,-0.157758024434227,-0.0423135877672889,-0.177897327084067,0.292580044006418,0.427095265972571,0.15553675702774,-0.0645088865368318,0.492738362572388,-0.267149518784076,0.314040058357006,0.197992877894858,-0.0179906242568814,-0.267057039527378
"Fenthion oxon sulfoxide",-0.0942382544940011,-0.0970125146040403,0.00320788712122831,0.7806927619921,-0.1312271167642,-0.0627459792175803,-0.276637193408781,0.214804357691335,-0.403238209320321,-0.134636583962829,0.244967080112937,-0.161665429792183,-0.103991482056112,0.0522160094224482,0.49964800542588,1,-0.158504224131798,0.0859215529723123,-0.3797733213926,-0.0970125146040403,0.937152977807899,-0.162245418294574,-0.0458541595814296,0.140661701252884,0.173408726376662,-0.248920411236197,0.187852174347682,-0.338457989255946,0.168986869192896,0.0843657988406206,0.105578228622129,0.248633529876081,0.651583176539245,0.193251795568939,-0.374141955974853
"Fenthion sulfoxide",-0.0815707729349992,-0.096109021894351,-0.125708978053439,-0.139935669877474,-0.130004978117512,0.0531491409782605,-0.150028991911998,0.182199682976054,-0.358428985744825,-0.0572887479724245,0.261088609797245,-0.39626764884521,0.0971414344993708,0.0873827362552502,-0.121451284596101,-0.158504224131798,1,-0.129216712337383,-0.186092275545062,0.316546682349447,-0.109920331353662,0.598627076779549,-0.0957945944657031,0.281691326546014,-0.143798575149629,0.122210330711973,0.165196689638276,-0.302852634422632,-0.0906281731666057,0.225628919680655,0.118402768384156,0.0866449058625076,-0.118733575602136,0.554327030839259,-0.268285569325568
"Imidacloprid",0.0958891988907246,-0.093893188548309,-0.0920575301031105,0.35850232938522,-0.16784080697382,0.434499757192682,-0.0214899668715626,0.515126436801247,-0.109899977448321,-0.207905980800742,0.446069733032312,0.119774531060098,0.490848898539749,0.0189562939349537,0.105566770057554,0.0859215529723123,-0.129216712337383,1,-0.408652278605357,-0.149806845992675,0.0631525605385576,-0.153503537819801,0.452201256420113,0.406704370259964,-0.106206095790292,0.0899435945784029,0.458129518586375,-0.186362072774713,0.713997477509163,-0.262435309131035,-0.500306050714437,0.564010816650802,0.0345370093014048,0.022525582138273,-0.326261150792029
"Cybutrine",-0.217783598434606,0.289599046973015,0.357993977568974,-0.395427433522883,0.223850339100891,0.00355775364830442,-0.0358494098811974,-0.315172673672694,0.387209749156127,0.0691013806975345,-0.317025686197502,0.0587353406417929,-0.23337965721436,0.154823870743483,-0.308833753183944,-0.3797733213926,-0.186092275545062,-0.408652278605357,1,0.06770281891887,-0.375683884080681,0.0916046243230596,-0.512757282277302,0.0611784764442789,0.104919073327127,-0.233366828307765,-0.472901610052252,0.561380076386781,-0.56140917401352,0.0292803670790143,0.48019106305038,-0.358220394817326,-0.520969930798482,-0.440629365776375,0.752639777251075
"Isoproturon",-0.098700439884423,-0.0588235294117647,-0.109727465959517,-0.085647630477825,-0.0795695503214853,0.308827865640832,-0.219230463800251,0.203068354854464,-0.32811949056585,-0.0816368804474545,0.0653708504251102,-0.242535625036333,-0.168488244926953,0.0918759838711133,0.113933554420034,-0.0970125146040403,0.316546682349447,-0.149806845992675,0.06770281891887,1,-0.0105843335797107,0.845715773205711,-0.173491160010971,0.230292890382088,0.00152691669456933,0.237964281508566,-0.266659279319741,0.193476497487974,-0.136683987040401,0.0759980466834502,0.0375594991008967,0.0760070433540986,-0.130528850747078,-0.212210447409989,-0.126626977464877
"Linuron",-0.0361663675019659,-0.0850360424291773,-0.151467227874061,0.904458834004348,-0.115026754172543,0.097837478342014,-0.20018589174799,0.367754072695308,-0.382284200507672,-0.118015312901762,0.330845869861127,-0.187181271975878,-0.0636503639252179,0.0754670267089474,0.407590308478193,0.937152977807899,-0.109920331353662,0.0631525605385576,-0.375683884080681,-0.0105843335797107,1,-0.0758313649129563,0.00216927927423862,0.267376116510415,0.250009433024684,-0.314140690322577,0.0313163879383746,-0.404533399545901,0.273535114981328,0.132603856419441,0.0503352942249848,0.330209148724836,0.718887636544518,0.0472499902539958,-0.362868052204146
"Malaoxon",-0.133884103760102,-0.0983774946348774,-0.0620833730249472,-0.143238588232977,-0.133073501167476,0.5091141352313,-0.263869300630307,0.422463374315019,-0.412199570290207,-0.136530940059869,0.323923747261549,-0.405620801563234,0.0982935029676262,0.185582361852649,-0.00249720917885385,-0.162245418294574,0.598627076779549,-0.153503537819801,0.0916046243230596,0.845715773205711,-0.0758313649129563,1,-0.186703871439317,0.485784332645167,-0.089769817633663,0.132671212913186,-0.10167864485301,0.129351696329962,-0.174962058042376,0.101623012489265,0.105027367441965,0.258645078447036,-0.218298722339145,-0.00584057383792346,-0.212878088001416
"MCPA",0.0434404559855437,0.0739225412817803,-0.183201734151373,0.131729185286616,-0.158011344601002,0.167293785937242,0.487223594267771,0.211884071337594,-0.124746852746067,-0.240775710504599,0.0249596097119756,0.109915509722886,0.119758449797142,-0.0497058136923651,-0.157758024434227,-0.0458541595814296,-0.0957945944657031,0.452201256420113,-0.512757282277302,-0.173491160010971,0.00216927927423862,-0.186703871439317,1,-0.0698660182168524,-0.283749040618132,0.224222424456968,0.221731554823134,-0.47630711806925,0.791494229242297,-0.109714004396693,-0.551404463688101,0.251824187076651,-0.122010117750704,-0.00705815570031748,-0.250898704895478
"Methiocarb",-0.17152237641417,-0.0515379869561593,-0.0486518019012056,0.406392635374167,-0.268710348554835,0.764349939641951,-0.189715032497512,0.802345398806479,-0.309251116386279,-0.229774229298514,0.654655467737611,-0.524004360071047,0.420487075092947,0.31327274866532,-0.0423135877672889,0.140661701252884,0.281691326546014,0.406704370259964,0.0611784764442789,0.230292890382088,0.267376116510415,0.485784332645167,-0.0698660182168524,1,0.204009736964257,-0.266772595328187,-0.0223988930558509,-0.214312448401363,0.224259674120577,-0.127128791896771,0.116151242933809,0.589407815178257,0.118283750337519,-0.104963059462052,-0.194171550894285
"Metolachlor",-0.301595528973695,-0.0660647013023967,-0.102197833934689,0.283669708319122,0.270606620392702,0.0594411070239348,-0.358677361710519,-0.0661583941988715,-0.0699596267779494,0.528676090723096,-0.0751113605140126,-0.283480168233011,-0.186585327073949,-0.263168238507374,-0.177897327084067,0.173408726376662,-0.143798575149629,-0.106206095790292,0.104919073327127,0.00152691669456933,0.250009433024684,-0.089769817633663,-0.283749040618132,0.204009736964257,1,-0.593372672915429,-0.56228125726735,-0.131644174853184,-0.043696079793294,-0.344334317281046,0.634911378599854,0.077997452061911,0.40352131742141,-0.16778008710715,0.0172577977032969
"Molinate",0.4518847609288,0.165137081924316,-0.255661750880428,-0.364319397652338,-0.126171426439829,-0.184348821130354,0.455617803623814,-0.0501454546350029,0.233251596630377,-0.347258866881706,-0.203751380486752,0.23260106588085,-0.0909900283690691,0.318611491151801,0.292580044006418,-0.248920411236197,0.122210330711973,0.0899435945784029,-0.233366828307765,0.237964281508566,-0.314140690322577,0.132671212913186,0.224222424456968,-0.266772595328187,-0.593372672915429,1,0.521651451626547,0.10956797476535,0.00731016220734905,0.342625589284868,-0.383735120571104,-0.276495279980436,-0.344178507215618,0.136268904158984,0.113324301200649
"Oxadiazon",0.356682531277883,0.176531422342957,-0.11538487240355,0.0387412396512167,-0.169245523488824,-0.0585712323685251,0.0502140535118915,0.268431159687275,0.0326976366211917,-0.370076939002511,0.268937735042877,0.222486273214002,0.375513766160328,0.198938130032389,0.427095265972571,0.187852174347682,0.165196689638276,0.458129518586375,-0.472901610052252,-0.266659279319741,0.0313163879383746,-0.10167864485301,0.221731554823134,-0.0223988930558509,-0.56228125726735,0.521651451626547,1,0.0391986215665994,0.176913321370987,0.362583127453456,-0.474315250021435,0.268912564481261,-0.02208193227146,0.586892491893438,-0.164178792148802
"Pendimethalin",0.147217322191455,0.193476497487974,0.170890742391339,-0.44267718089712,0.261712244349199,-0.044949292476658,-0.109451114038989,-0.185099039099077,0.450567174714215,0.027887556838409,-0.0925244668836903,0.341881729378914,0.0883902751401118,0.100907094640605,0.15553675702774,-0.338457989255946,-0.302852634422632,-0.186362072774713,0.561380076386781,0.193476497487974,-0.404533399545901,0.129351696329962,-0.47630711806925,-0.214312448401363,-0.131644174853184,0.10956797476535,0.0391986215665994,1,-0.564900814970013,0.16327097949479,-0.0703205857864623,-0.0991559741391538,-0.42798131363738,-0.237656417084281,0.489417503713329
"Propanil",0.152579388352173,-0.129548780140689,-0.183724115696508,0.551156368054961,-0.156959867517145,0.445974359144497,0.145430777091038,0.453997850052559,-0.298675282959663,-0.18339822853374,0.312695326418643,0.196205599559374,0.210208976611353,-0.0809264841401027,-0.0645088865368318,0.168986869192896,-0.0906281731666057,0.713997477509163,-0.56140917401352,-0.136683987040401,0.273535114981328,-0.174962058042376,0.791494229242297,0.224259674120577,-0.043696079793294,0.00731016220734905,0.176913321370987,-0.564900814970013,1,-0.161862178457358,-0.472346781582527,0.516103470831343,0.158867374526694,-0.0874577476473255,-0.442375688540184
"Simazine",0.604141839119012,0.401462249787396,-0.241869877337277,0.0308364998046822,0.0134629579881647,-0.231866879566788,0.0458148199636563,0.100859057989925,0.23668005427241,-0.243231666735065,-0.0149022712559496,0.108380362001197,-0.334505951916719,0.277329626992952,0.492738362572388,0.0843657988406206,0.225628919680655,-0.262435309131035,0.0292803670790143,0.0759980466834502,0.132603856419441,0.101623012489265,-0.109714004396693,-0.127128791896771,-0.344334317281046,0.342625589284868,0.362583127453456,0.16327097949479,-0.161862178457358,1,-0.15817879789459,0.0188927228026971,-0.0685009487442562,0.0659115485149915,0.284734313276779
"Terbuthylazine",-0.446504102779667,0.0718823538961711,0.170782012991667,-0.0905872974196687,0.224211509846676,-0.128770984709931,-0.370345770135691,-0.357105984994724,-0.0680087082015822,0.395266740822502,-0.353032991400114,-0.297114558683541,-0.456672908329016,-0.067084781466588,-0.267149518784076,0.105578228622129,0.118402768384156,-0.500306050714437,0.48019106305038,0.0375594991008967,0.0503352942249848,0.105027367441965,-0.551404463688101,0.116151242933809,0.634911378599854,-0.383735120571104,-0.474315250021435,-0.0703205857864623,-0.472346781582527,-0.15817879789459,1,-0.34876159146806,0.0496164806520728,0.038264412166263,0.268959273151127
"Terbutryn",0.215625355650207,-0.147345142705815,0.0617221035419492,0.505373129651018,-0.032831791397457,0.672722788170305,-0.302158143519773,0.84632491858661,-0.520218562604353,-0.0756866937460539,0.835978062274468,-0.130175335955014,0.530431886209174,0.107897375051268,0.314040058357006,0.248633529876081,0.0866449058625076,0.564010816650802,-0.358220394817326,0.0760070433540986,0.330209148724836,0.258645078447036,0.251824187076651,0.589407815178257,0.077997452061911,-0.276495279980436,0.268912564481261,-0.0991559741391538,0.516103470831343,0.0188927228026971,-0.34876159146806,1,0.216148631409592,-0.0431107524212393,-0.531027885810616
"Thiacloprid",-0.0275825722853755,-0.130528850747078,-0.231692585016357,0.689093200342295,-0.171085567429985,0.0256172240247647,-0.296935900459447,0.22933057962561,-0.279459886239705,0.126545684176248,0.201764883504329,-0.135272961494162,0.117643938300132,-0.236963009862174,0.197992877894858,0.651583176539245,-0.118733575602136,0.0345370093014048,-0.520969930798482,-0.130528850747078,0.718887636544518,-0.218298722339145,-0.122010117750704,0.118283750337519,0.40352131742141,-0.344178507215618,-0.02208193227146,-0.42798131363738,0.158867374526694,-0.0685009487442562,0.0496164806520728,0.216148631409592,1,0.186842416978105,-0.428982514107334
"Triadimefon",-0.195061219336479,0.15349448828937,0.0275047175513055,-0.0305118966504182,-0.220761732793691,-0.291815349532796,-0.0701333065056792,-0.0922515067465154,-0.214926555888915,-0.117635872673311,0.066691708495583,-0.037277157476427,0.201033603156203,0.0412327200767841,-0.0179906242568814,0.193251795568939,0.554327030839259,0.022525582138273,-0.440629365776375,-0.212210447409989,0.0472499902539958,-0.00584057383792346,-0.00705815570031748,-0.104963059462052,-0.16778008710715,0.136268904158984,0.586892491893438,-0.237656417084281,-0.0874577476473255,0.0659115485149915,0.038264412166263,-0.0431107524212393,0.186842416978105,1,-0.216097280260838
"Triallate",-0.0638981632364592,0.722045086140864,-0.000240035776449259,-0.374727464981939,0.23537075062372,-0.28596800921512,0.318704265480739,-0.424251283552588,0.738436524941614,0.00207451284501664,-0.586813328603385,0.267312802972203,-0.312469981180901,0.209485393359414,-0.267057039527378,-0.374141955974853,-0.268285569325568,-0.326261150792029,0.752639777251075,-0.126626977464877,-0.362868052204146,-0.212878088001416,-0.250898704895478,-0.194171550894285,0.0172577977032969,0.113324301200649,-0.164178792148802,0.489417503713329,-0.442375688540184,0.284734313276779,0.268959273151127,-0.531027885810616,-0.428982514107334,-0.216097280260838,1
